frame,id,tlx,tly,width,height,score
0,-1,0.079286575,70.27921,53.310005,178.7208,0.9933482
1,-1,0.09309387,67.56993,54.290165,177.2189,0.9972038
2,-1,0.65026283,68.211,56.170586,174.64331,0.9983442
3,-1,1.9881268,69.53889,59.06376,174.63187,0.999311
4,-1,3.986452,67.510796,61.86737,177.8075,0.99937755
5,-1,7.008457,67.19692,63.866344,175.03381,0.9992705
6,-1,9.140068,66.769684,68.48958,180.71478,0.99908364
7,-1,12.112347,64.269966,72.10167,182.03552,0.99903464
8,-1,16.360611,65.52042,70.8652,176.19931,0.99958616
9,-1,22.336845,66.3861,68.5285,174.42401,0.9995946
10,-1,23.90223,64.14174,71.492874,178.2106,0.99938977
11,-1,24.846478,64.78775,73.93628,179.44012,0.99918514
12,-1,29.419796,66.58457,74.636826,178.10782,0.9994516
13,-1,30.937443,67.58474,75.05615,176.83997,0.99963975
14,-1,33.653717,67.2864,74.2545,180.4744,0.9996722
15,-1,34.65228,69.1284,72.5838,173.94617,0.9996847
16,-1,36.959812,68.14633,73.65706,175.3252,0.99975294
17,-1,40.096607,70.07443,71.180954,171.39215,0.99952304
18,-1,44.974834,64.96017,70.539444,180.79227,0.9989033
19,-1,45.35838,64.91272,71.42793,180.63815,0.9991498
20,-1,51.946125,65.01061,63.779858,176.71667,0.99883217
21,-1,50.418312,65.870964,67.84456,173.55112,0.9986712
22,-1,55.540146,64.871925,60.91928,175.68362,0.9995883
23,-1,57.85018,63.80413,60.10286,171.08759,0.99948907
24,-1,60.372105,64.951225,59.07609,172.71173,0.9993617
25,-1,63.223755,66.37426,56.842453,172.46182,0.99922204
26,-1,64.73804,65.958244,58.297333,172.45135,0.9992466
27,-1,65.98739,65.81506,58.138107,173.5744,0.9992663
28,-1,67.45649,67.809296,59.358658,170.47195,0.9993099
29,-1,69.75797,66.227516,60.907112,172.24356,0.9994759
30,-1,71.42702,68.525314,63.201828,168.73587,0.9995024
31,-1,73.01053,67.30638,64.2626,171.79477,0.99929523
32,-1,74.29891,70.35953,62.655495,167.63852,0.99960655
33,-1,75.49223,70.589096,63.18628,168.3779,0.999647
34,-1,76.30095,69.06174,65.42839,168.14062,0.9997408
35,-1,79.045715,69.2208,64.01495,169.98114,0.9994123
36,-1,79.93207,69.43976,66.54166,169.04276,0.9994785
37,-1,85.478226,66.72562,63.695786,172.52414,0.99935347
38,-1,93.645004,67.82211,60.233444,170.37451,0.99943274
39,-1,93.85971,67.72664,63.216553,171.61588,0.9991258
40,-1,98.01448,67.390755,61.855103,171.42517,0.9990928
41,-1,102.126816,67.48567,60.01352,169.75323,0.99929285
42,-1,104.08056,66.922386,62.824867,167.5745,0.99920756
43,-1,104.87543,64.58027,66.23865,174.25854,0.9989334
44,-1,108.35901,67.622604,64.276886,171.54297,0.99891365
45,-1,111.20761,66.81137,63.770294,172.42438,0.9988722
46,-1,113.396866,68.95473,63.51291,169.26431,0.9991505
47,-1,115.80474,68.667656,62.257256,170.69925,0.9991227
48,-1,116.865425,70.29972,61.990746,169.62589,0.9990765
49,-1,117.17476,70.71924,63.63852,167.31433,0.9986929
50,-1,118.43388,72.95315,62.708496,164.28928,0.99852693
51,-1,121.45317,70.52684,61.382843,167.88733,0.9986909
52,-1,123.41432,70.45914,59.79538,166.95197,0.9985489
53,-1,126.01904,70.48038,56.717743,166.49136,0.9991609
54,-1,129.62247,70.14984,53.349365,165.71075,0.9987972
55,-1,131.37158,69.73696,53.573273,166.03244,0.9988512
56,-1,132.0469,70.04443,55.21768,162.22412,0.99933225
57,-1,133.94426,69.44551,55.12503,159.66882,0.99940515
58,-1,134.83203,66.88856,54.83954,163.09927,0.9994055
59,-1,136.11086,67.386566,54.622375,161.59131,0.99915636
60,-1,138.61234,67.91166,53.299377,163.87527,0.9992275
60,-1,518.6929,118.014046,7.57312,23.50953,0.62593687
61,-1,138.72754,68.07475,55.56122,166.10092,0.99933004
62,-1,141.36554,69.99613,55.204742,161.8157,0.99928015
63,-1,144.07167,68.63802,51.59015,162.8483,0.99954224
64,-1,143.58484,69.71818,56.886932,161.47363,0.9993774
65,-1,146.7894,71.12483,53.661194,158.8063,0.9996445
66,-1,145.78883,73.192566,58.848267,158.16824,0.9994803
67,-1,146.3544,72.18399,58.97223,159.6629,0.9993986
68,-1,145.65271,72.93722,61.776123,159.64322,0.9991598
68,-1,375.63995,94.98039,17.553223,59.094254,0.67590845
69,-1,148.52092,72.31069,60.66977,159.47528,0.9990729
69,-1,375.19617,93.528275,18.412476,60.303955,0.6428591
69,-1,531.0043,122.93754,10.9313965,27.654137,0.81540716
70,-1,150.97362,72.22897,60.743378,158.67685,0.9991346
71,-1,156.87225,72.87845,57.75891,155.13632,0.9991479
72,-1,160.08542,71.01063,56.075287,158.51974,0.9992803
73,-1,164.1467,71.67538,55.33072,156.54556,0.9990901
74,-1,165.17886,71.21682,56.363373,157.81827,0.9987394
75,-1,167.0396,70.01206,58.208252,158.0271,0.9987576
76,-1,169.38309,68.166855,56.959503,158.82742,0.9982083
77,-1,173.98904,69.70681,53.742676,157.69934,0.9988638
78,-1,174.94972,71.04602,57.024048,154.68372,0.99874204
79,-1,175.42847,71.2525,57.497253,155.883,0.99917656
80,-1,176.99002,71.78034,56.36798,154.43533,0.999252
81,-1,178.36653,72.58831,56.755554,155.85434,0.9991285
82,-1,180.68709,72.82881,56.03424,157.41959,0.9992884
83,-1,182.20576,73.487724,57.010498,155.68225,0.9989341
84,-1,184.14192,74.057396,56.540405,156.9862,0.9990208
85,-1,182.93271,75.02312,58.395477,152.68625,0.9993243
86,-1,187.59337,74.88466,52.845703,152.46158,0.9995103
87,-1,190.31488,74.80966,50.52942,153.45767,0.99938107
88,-1,190.5489,74.061165,51.48581,149.73535,0.9993093
89,-1,191.47467,74.23356,51.797974,150.30695,0.99931145
90,-1,191.26012,74.10666,53.945404,151.03604,0.9994153
91,-1,194.61743,71.98134,51.42874,145.57907,0.99927276
92,-1,194.3784,71.354836,52.440155,151.66513,0.99933976
93,-1,197.97127,71.41233,48.524048,149.61963,0.9993476
94,-1,198.75058,72.07853,49.125122,152.45969,0.99934644
95,-1,200.16563,72.2577,49.078125,153.4798,0.999537
96,-1,201.37907,72.000496,47.902466,151.57535,0.9996045
97,-1,202.98325,72.45985,48.720886,154.20053,0.99919516
98,-1,204.74985,74.84093,49.859406,148.98355,0.9995553
99,-1,206.03044,76.93729,49.242355,146.44714,0.99947387
100,-1,207.01788,79.17528,49.80307,144.28049,0.9994074
101,-1,207.26501,76.96709,52.00534,148.87079,0.9996056
102,-1,209.24522,78.73357,51.78685,145.46323,0.9995592
103,-1,210.58504,75.56776,50.3257,149.15573,0.99960035
104,-1,212.3071,78.833206,49.25186,144.8988,0.9995795
105,-1,214.14056,75.597336,48.602783,146.87976,0.9994019
106,-1,216.19713,75.49303,48.789932,148.47876,0.9983456
107,-1,220.15944,73.2061,48.912003,149.6102,0.9993135
108,-1,220.85262,75.91577,51.748886,146.3917,0.9982497
109,-1,223.21658,73.37617,47.629578,149.31238,0.998828
110,-1,225.19092,73.36168,45.674194,148.70648,0.99863595
111,-1,225.4673,72.60363,47.965683,147.04382,0.99800843
112,-1,227.818,74.69515,49.083862,146.75876,0.9985013
112,-1,464.85605,106.650665,16.961304,32.691803,0.90192485
113,-1,225.95956,75.24688,53.640594,146.35452,0.99925286
114,-1,228.0914,75.63097,51.219788,145.35992,0.9989448
115,-1,228.66606,76.51427,51.9561,144.4939,0.99875104
115,-1,591.2024,93.597565,26.015137,56.60103,0.60323644
115,-1,473.95123,109.41896,15.911926,30.50505,0.869954
116,-1,229.81555,73.88278,51.90503,148.41693,0.99907315
116,-1,461.21945,100.957375,29.358276,38.97367,0.7468834
116,-1,475.68536,107.305565,18.310303,32.205757,0.8529726
117,-1,231.6715,76.182175,50.691025,145.0744,0.998719
117,-1,479.59335,109.42618,15.655151,30.256363,0.65049034
118,-1,232.2604,79.66131,50.88153,140.12177,0.99910706
118,-1,469.06006,101.5036,24.867981,38.547577,0.82940876
118,-1,480.7581,108.6359,16.433838,31.604332,0.72775626
119,-1,235.14844,79.73369,49.55127,139.73004,0.99860966
119,-1,471.86328,102.00619,26.73877,38.95472,0.94021744
119,-1,497.7466,104.55507,15.073639,34.55443,0.7741376
119,-1,485.71243,108.49817,14.656372,32.660004,0.7779761
120,-1,236.29388,80.31744,49.711365,139.30609,0.99894553
120,-1,473.527,101.72416,22.429016,38.755028,0.90500116
121,-1,236.95357,79.356224,49.97136,140.09143,0.99855167
121,-1,477.91852,102.11716,24.551758,38.5282,0.9658711
122,-1,237.2278,76.54209,50.824417,143.0994,0.9990759
122,-1,487.83377,103.34987,22.746765,38.79425,0.9148012
122,-1,479.53555,103.24437,20.220642,37.6631,0.87267184
123,-1,239.16058,77.5666,47.975586,140.73041,0.9980981
123,-1,600.26544,93.65588,21.9292,55.480896,0.76889443
123,-1,486.06976,102.08619,25.134277,39.395195,0.97356004
124,-1,240.01761,77.50209,46.976868,140.83063,0.9982394
124,-1,601.02985,93.559265,22.702393,56.387985,0.85541445
124,-1,493.78235,102.082214,24.026978,40.181137,0.85113496
125,-1,240.23929,75.0054,46.823975,141.92377,0.9986909
126,-1,241.03319,74.65526,45.9384,144.91571,0.99844426
127,-1,243.02818,74.70171,45.865707,143.58289,0.99851936
128,-1,244.88718,76.974525,46.57434,141.41779,0.99887615
129,-1,245.31454,77.22388,47.161926,142.25641,0.9993831
129,-1,607.20776,112.242004,18.17688,39.69803,0.67763335
130,-1,246.25208,76.34256,45.524353,143.89603,0.9994677
130,-1,602.78186,93.04308,20.630127,59.292015,0.64618254
131,-1,247.18277,80.43342,45.414734,139.03061,0.99946135
132,-1,248.43285,78.46822,45.284836,141.69843,0.9995073
132,-1,609.91144,111.95231,15.314575,40.99517,0.73904914
133,-1,249.52792,78.13004,45.921265,143.17307,0.99940455
133,-1,610.99426,109.97024,12.456299,42.869026,0.6090152
134,-1,250.39583,81.00886,45.76805,140.35434,0.99940085
135,-1,250.96858,84.76068,47.777725,136.38242,0.99930716
136,-1,251.49551,82.533554,49.329773,137.40414,0.99947995
137,-1,253.4859,80.667114,47.251343,138.93512,0.9993814
138,-1,254.3298,84.780136,47.131836,135.03876,0.9993259
139,-1,255.35983,81.43958,48.571533,138.97992,0.998887
139,-1,487.29468,105.16964,11.978821,29.223839,0.6666601
140,-1,258.54114,81.99606,45.647705,137.81973,0.99770397
140,-1,487.39468,104.87263,11.8220215,30.912514,0.9099067
141,-1,260.8155,80.14389,45.394836,139.06363,0.9991086
141,-1,486.743,104.952866,13.298828,28.916687,0.70984817
142,-1,261.3955,77.07849,45.717224,141.6131,0.998599
142,-1,484.15857,104.92003,15.334351,30.721191,0.73500633
143,-1,262.22067,78.94093,44.56189,139.4465,0.9988194
143,-1,557.89795,103.65521,19.555298,41.65117,0.6378026
143,-1,485.88766,105.298386,13.143921,30.2379,0.8074898
144,-1,263.9676,80.18255,44.36676,137.03189,0.99768126
144,-1,561.7523,108.66742,17.353271,37.43689,0.7766695
144,-1,485.4362,105.06333,12.407654,30.373772,0.9527398
145,-1,265.99078,78.3849,41.490906,139.0878,0.9981413
145,-1,486.32556,104.50139,11.311462,30.023727,0.9043987
146,-1,266.66705,77.7389,43.89984,141.25757,0.9981438
146,-1,485.4388,104.81211,12.390259,29.901756,0.9315767
147,-1,268.02618,79.82414,47.479797,137.02948,0.99845994
147,-1,483.4415,104.7096,14.113464,29.751335,0.84682196
148,-1,268.31628,79.43883,47.739502,136.47537,0.9982759
148,-1,566.87866,104.44605,24.466797,41.590874,0.8452845
148,-1,483.20572,105.03984,13.504822,29.736496,0.77141064
148,-1,601.2032,90.97573,12.314331,30.858887,0.7261338
148,-1,613.24414,94.53818,10.701416,29.559875,0.81178963
149,-1,269.84766,82.49181,46.65857,133.15582,0.9979786
149,-1,481.09576,104.89558,15.1026,29.476036,0.7364174
149,-1,601.20734,90.74196,12.544189,31.086288,0.613439
150,-1,270.83875,82.908844,46.086365,133.70737,0.9978029
150,-1,575.6256,100.64554,22.694702,44.805283,0.7328914
150,-1,481.39697,104.76272,14.641907,30.025917,0.8734644
150,-1,601.2135,92.48473,12.990967,29.708786,0.62542284
151,-1,272.45755,81.162636,44.674072,135.84839,0.9986241
151,-1,577.4141,100.54458,22.436401,45.071526,0.66836834
151,-1,481.82834,105.48283,14.036926,29.25933,0.75881124
152,-1,273.25082,81.58876,44.007446,135.0849,0.99789834
152,-1,586.5177,109.53872,16.574463,36.625893,0.7859083
152,-1,481.37784,105.20128,13.021362,29.972733,0.7855136
153,-1,273.94028,80.80419,44.493286,135.62772,0.9980959
153,-1,589.7375,110.09874,15.792358,36.098053,0.76248956
153,-1,480.2081,105.242874,12.95874,29.887375,0.80986744
154,-1,274.82764,80.92289,44.543518,136.08942,0.99732864
154,-1,592.22144,114.24706,14.757446,32.078865,0.8813761
154,-1,477.90717,104.77442,14.393372,29.181786,0.90080345
155,-1,274.95087,79.25044,43.951965,136.89047,0.9980192
155,-1,594.1716,116.417915,16.023071,29.688972,0.7184542
155,-1,477.49484,104.4391,14.30127,28.976257,0.84997725
156,-1,276.3957,79.262505,41.948975,137.18555,0.9982957
156,-1,477.64395,104.89969,13.221008,29.352234,0.9011706
157,-1,277.29425,80.88743,45.072998,132.32156,0.99720603
157,-1,597.70764,91.75464,20.643188,53.7052,0.8727159
157,-1,598.5986,91.28757,17.39392,30.720383,0.61422014
157,-1,477.48343,105.21142,13.09552,30.239372,0.84572923
158,-1,278.2286,79.43716,44.32599,129.37012,0.996851
158,-1,599.0179,91.268845,20.15503,56.050766,0.9778185
158,-1,479.099,105.57242,10.740784,28.173706,0.7587534
159,-1,280.8336,79.447525,42.640198,132.69122,0.99756515
159,-1,585.2458,105.26136,24.890137,40.378716,0.9172806
159,-1,601.3999,92.02221,17.376709,53.113472,0.812157
159,-1,478.15796,104.52658,11.497803,29.540619,0.8911899
159,-1,603.1569,91.862755,12.337769,27.366882,0.6171706
160,-1,280.8723,78.216934,43.22345,134.99109,0.99820423
160,-1,478.23035,104.379105,10.652039,29.063904,0.9022305
161,-1,283.5928,78.66892,44.47052,134.45032,0.9988367
161,-1,598.8113,94.282265,20.173584,51.17504,0.616014
161,-1,590.7587,104.24307,24.121338,41.503616,0.643573
161,-1,477.81815,104.645485,11.208557,29.281517,0.8840249
162,-1,283.36993,77.127594,46.700256,136.26154,0.99886584
162,-1,595.4059,92.42887,20.602905,53.255135,0.6918774
162,-1,476.64117,104.595764,11.579407,29.053085,0.855481
163,-1,285.23248,78.839165,46.487732,134.61423,0.9989065
163,-1,598.5247,100.20659,17.769653,45.773285,0.7527823
163,-1,475.79608,104.7209,12.108948,29.830963,0.84235716
164,-1,286.14792,80.27639,46.681946,133.8103,0.99921274
164,-1,475.18146,105.11623,12.364502,28.961044,0.86424285
165,-1,286.96375,78.9944,44.455383,135.14774,0.9991806
165,-1,603.21594,93.8409,14.371948,53.018417,0.6259065
165,-1,474.19937,106.33938,12.933472,27.55027,0.7412874
166,-1,288.29303,80.16266,44.079468,134.96591,0.99924076
166,-1,473.8286,106.3787,12.831848,27.10711,0.8019783
167,-1,289.57825,82.34983,44.371582,132.54495,0.99888307
167,-1,473.39365,106.0223,12.821228,27.50663,0.8113905
168,-1,291.24277,88.137924,45.843872,126.09198,0.99899846
168,-1,472.1256,105.25946,12.544983,27.681976,0.9439299
169,-1,291.26508,88.01534,43.32904,127.84171,0.9985266
169,-1,472.29947,105.23683,11.914734,28.246902,0.8470839
170,-1,291.18237,88.38038,46.114746,124.74038,0.9989203
170,-1,472.0181,105.1996,11.071167,28.52272,0.91712034
171,-1,292.8338,87.18304,45.19751,126.62464,0.99883276
171,-1,471.42563,104.79368,10.511658,28.823982,0.7639023
172,-1,295.12308,88.686874,42.142395,126.1037,0.9979686
172,-1,376.13153,94.12434,16.827087,58.794853,0.6755812
172,-1,469.98337,104.50328,10.983032,29.420105,0.7353929
173,-1,296.83447,85.74223,44.67395,126.81958,0.99878925
173,-1,469.7942,104.73492,11.196838,29.489647,0.8378035
174,-1,298.79422,84.10647,43.954773,127.49763,0.99826235
174,-1,469.39255,104.81383,11.039429,29.827774,0.8374456
175,-1,299.61545,81.926346,44.18628,129.74323,0.99834454
175,-1,468.25885,104.48691,10.970886,29.057663,0.870512
176,-1,300.902,82.47211,43.953857,128.5813,0.9977533
176,-1,467.81073,104.532936,10.895081,29.082115,0.86778915
177,-1,300.78198,80.64805,46.033813,129.96594,0.99823475
177,-1,469.09073,105.856834,9.357422,27.895973,0.8204243
178,-1,303.2703,81.613495,43.217163,129.68259,0.9985588
178,-1,469.28827,107.89128,8.679199,26.517715,0.73859775
179,-1,304.28674,81.22431,43.63495,130.50632,0.998467
180,-1,303.17426,82.47751,46.186096,129.29034,0.99773586
181,-1,303.723,83.71239,46.711792,128.29745,0.9975712
182,-1,306.93216,81.81989,43.444275,128.93094,0.99819165
182,-1,375.59344,95.30474,18.409607,57.243736,0.6571761
